"ImageName","ImageUrl","TitleName","Tag1","Tag2","Tag3","Tag4","Tag5","Tag6","Tag7","Tag8","Tag9"
"Alienoid","https://flixpatrol.com/runtime/cache/files/posters/1/w350/11bqbin5awp9xgoyb5jixesjsud.jpg","Alienoid","Movie","South Korea","07/20/2022","Action",,,,,
"TheQueensGambit","https://flixpatrol.com/runtime/cache/files/posters/z/w350/zu0htwkhnvbqdvsikb9s6hgvefk.jpg","The Queen's Gambit","TV Show","United States","10/23/2020","Netflix","Drama","Psychological",,,
"TamronHall","https://flixpatrol.com/runtime/cache/files/posters/m/w350/mk2vlb0iiuak98weufbjfwmitpi.jpg","Tamron Hall","TV Show","09/09/2019",,,,,,,
"TheBigBangTheory","https://flixpatrol.com/runtime/cache/files/posters/o/w350/oobgrqbdbgzbxavfexio8r7kloa.jpg","The Big Bang Theory","TV Show","United States","09/24/2007","Comedy","Sitcom",,,,
"BeetlejuiceBeetlejuice","https://flixpatrol.com/runtime/cache/files/posters/c/w350/cc7e4lxc7nyft7kobdr8knt6ksh.jpg","Beetlejuice Beetlejuice","Movie","United States","09/05/2024","Fantasy","Horror Comedy",,,,
"SturmderLiebe","https://flixpatrol.com/runtime/cache/files/posters/n/w350/nsesadrqjznsonczzo5kzb6prrb.jpg","Sturm der Liebe","TV Show","Germany","09/26/2005","Romance",,,,,
"SriAsih","https://flixpatrol.com/runtime/cache/files/posters/r/w350/remmqgcxva5nc5yufekdt57ghtj.jpg","Sri Asih","Movie","Indonesia","11/17/2022","Action",,,,,
"TheOffice","https://flixpatrol.com/runtime/cache/files/posters/q/w350/qwnjzyzhyy74gjpsjixwmuk0ifx.jpg","The Office","TV Show","United States","03/24/2005","Comedy","Sitcom",,,,
"X-Men97","https://flixpatrol.com/runtime/cache/files/posters/c/w350/cvlbab0nfeqxwuyn1mtfrgjqxuw.jpg","X-Men '97","TV Show","United States","03/20/2024","Disney+","Animation","Marvel",,,
"Beef","https://flixpatrol.com/runtime/cache/files/posters/4/w350/4b4v7rnphnypeavgfareuo74r8w.jpg","Beef","TV Show","United States","04/06/2023","Netflix","Comedy","Situation",,,
"Sololeveling","https://flixpatrol.com/runtime/cache/files/posters/a/w350/a6comjrhzwybugsxwoynvqjdk7b.jpg","Solo leveling","TV Show","Japan","01/06/2024","Drama",,,,,
"Hop","https://flixpatrol.com/runtime/cache/files/posters/a/w350/avbiy6qarmbfei8hrpng2hlanwd.jpg","Hop","Movie","United Kingdom","03/30/2011","Animation","Animals",,,,
"BodiesBodiesBodies","https://flixpatrol.com/runtime/cache/files/posters/6/w350/6jwaxqslrfmztighgyhfkgmqdqe.jpg","Bodies Bodies Bodies","Movie","United States","08/05/2022","Horror","Horror Comedy",,,,
"TheCurse","https://flixpatrol.com/runtime/cache/files/posters/7/w350/7mihxztk6cpcs73vs1qqgv6tsra.jpg","The Curse","TV Show","United States","11/12/2023","Showtime","Comedy","Dramedy",,,
