"ImageName","ImageUrl","TitleName","Tag1","Tag2","Tag3","Tag4","Tag5","Tag6","Tag7","Tag8","Tag9"
"Skal-FightforSurvival","https://flixpatrol.com/runtime/cache/files/posters/u/w350/uqkidkqyun13mqsoxv7i5mrkr0q.jpg","Skal - Fight for Survival","Movie","Canada","11/24/2023","Action",,,,,
"FuriosaAMadMaxSaga","https://flixpatrol.com/runtime/cache/files/posters/p/w350/pkaa8vvfknfemupmiiul5qspqyy.jpg","Furiosa: A Mad Max Saga","Movie","United States","05/22/2024","Science Fiction","Postapocalypse",,,,
"RedEye","https://flixpatrol.com/runtime/cache/files/posters/r/w350/rtda8ald7iies01zjjkcm9ikd0l.jpg","Red Eye","Movie","United States","08/04/2005","Thriller","Abduction",,,,
"TheCasagrandesMovie","https://flixpatrol.com/runtime/cache/files/posters/k/w350/ky737bla7vay53le318ugtgv6da.jpg","The Casagrandes Movie","Movie","United States","03/22/2024","Netflix","Animation","For babies",,,
"PerfectDays","https://flixpatrol.com/runtime/cache/files/posters/l/w350/lglnbjhfxlmmhip5rpyylh76eqm.jpg","Perfect Days","Movie","Czech Republic","11/03/2011","Comedy","Rom Com",,,,
"MonkeyMan","https://flixpatrol.com/runtime/cache/files/posters/b/w350/b4fn3vidvtt3sx0rfmnfbl5xuvg.jpg","Monkey Man","Movie","04/05/2024","Action","Revenge",,,,,
"EternalSunshineoftheSpotlessMind","https://flixpatrol.com/runtime/cache/files/posters/g/w350/gutwxkvchjkpircloknesybj0gc.jpg","Eternal Sunshine of the Spotless Mind","Movie","United States","03/19/2004","Drama","Break-up",,,,
"AvengersInfinityWar","https://flixpatrol.com/runtime/cache/files/posters/7/w350/7wsychqleftfidovtgkv3hfpyyt.jpg","Avengers: Infinity War","Movie","United States","04/25/2018","Superhero","Marvel",,,,
"Wish","https://flixpatrol.com/runtime/cache/files/posters/a/w350/acovfiv1rrwomadpnamnm56ki19.jpg","Wish","Movie","United States","11/13/2023","Animation","Princesses",,,,
"TheFallGuy","https://flixpatrol.com/runtime/cache/files/posters/v/w350/vricyxz8288udqtamui2ll8k0vn.jpg","The Fall Guy","Movie","United States","02/22/2024","Action","Buddies",,,,
"Ruthless","https://flixpatrol.com/runtime/cache/files/posters/9/w350/9iz6beazr6pcmhkdanqnaojjp8z.jpg","Ruthless","Movie","United States","12/14/2023","Action",,,,,
"AvengersEndgame","https://flixpatrol.com/runtime/cache/files/posters/o/w350/or06fn3dka5tukk1e9sl16pb3iy.jpg","Avengers: Endgame","Movie","United States","04/24/2019","Superhero","Marvel",,,,
"TheBigShort","https://flixpatrol.com/runtime/cache/files/posters/p/w350/p11ftd4vposrazthkhf53ifyzrl.jpg","The Big Short","Movie","United States","12/12/2015","Drama","Business",,,,
"AankhMicholi","https://flixpatrol.com/runtime/cache/files/posters/3/w350/3di6gxx88wemo9ijmt8bww9woq1.jpg","Aankh Micholi","Movie","11/03/2023","Comedy",,,,,,
"MeanGirls","https://flixpatrol.com/runtime/cache/files/posters/l/w350/ldlgpzs0ujykxvlpyff3bmypc2h.jpg","Mean Girls","Movie","United States","04/30/2004","Comedy","Teens",,,,
"Whiplash","https://flixpatrol.com/runtime/cache/files/posters/l/w350/liv1qinfqz4dlp5u4lq6haiskoz.jpg","Whiplash","Movie","United States","10/10/2014","Drama","Music",,,,
